项目点表区域划分,,,,,,,,,,,,,,
分类,分组,序号,区域,区域,描述,开始M_ID,结束M_ID,开始M_ID（B）,结束M_ID（B）,开始相对id,结束相对id,总点量,配点初始点,初始16进制
,,3,化验,化验3#,遥信点号,0x01004300,0x010043FF,16794368,16794623,17152,17407,256,16794399,100431F
,,,,,遥测点号,0x02004300,0x020043FF,33571584,33571839,17152,17407,256,33571615,200431F
,,,,,遥文点号,0x03001240,0x0300133F,50336320,50336575,4672,4927,256,50336351,300125F
,,4,化验,化验4#,遥信点号,0x01004400,0x010044FF,16794624,16794879,17408,17663,256,16794655,100441F
,,,,,遥测点号,0x02004400,0x020044FF,33571840,33572095,17408,17663,256,33571871,200441F
,,,,,遥文点号,0x03001340,0x0300143F,50336576,50336831,4928,5183,256,50336607,300135F
,,5,化验,化验5#,遥信点号,0x01004500,0x010045FF,16794880,16795135,17664,17919,256,16794911,100451F
,,,,,遥测点号,0x02004500,0x020045FF,33572096,33572351,17664,17919,256,33572127,200451F
,,,,,遥文点号,0x03001440,0x0300153F,50336832,50337087,5184,5439,256,50336863,300145F
,,合计,,,遥信数量,512,遥测数量,512,遥文数量,512,,,,
,总计,,,,遥信数量,8960,遥测数量,8960,遥文数量,2241,,,,
,综合,1,输煤程控,输煤程控,遥信点号,0x01004600,0x010046FF,16795136,16795391,17920,18175,256,16795167,100461F
,,,,,遥测点号,0x02004600,0x020046FF,33572352,33572607,17920,18175,256,33572383,200461F
,,,,,遥文点号,0x03001540,0x0300163F,50337088,50337343,5440,5695,256,50337119,300155F
,,2,备用,备用,遥信点号,0x01004700,0x010047FF,16795392,16795647,18176,18431,256,16795423,100471F
,,,,,遥测点号,0x02004700,0x020047FF,33572608,33572863,18176,18431,256,33572639,200471F
,,,,,遥文点号,0x03001640,0x0300173F,50337344,50337599,5696,5951,256,50337375,300165F
,,3,备用,备用,遥信点号,0x01004800,0x010048FF,16795648,16795903,18432,18687,256,16795679,100481F
,,,,,遥测点号,0x02004800,0x020048FF,33572864,33573119,18432,18687,256,33572895,200481F
,,,,,遥文点号,0x03001740,0x0300183F,50337600,50337855,5952,6207,256,50337631,300175F
,,4,备用,备用,遥信点号,0x01004900,0x010049FF,16795904,16796159,18688,18943,256,16795935,100491F
,,,,,遥测点号,0x02004900,0x020049FF,33573120,33573375,18688,18943,256,33573151,200491F
,,,,,遥文点号,0x03001840,0x0300193F,50337856,50338111,6208,6463,256,50337887,300185F
,,5,备用,备用,遥信点号,0x01004A00,0x01004AFF,16796160,16796415,18944,19199,256,16796191,1004A1F
,,,,,遥测点号,0x02004A00,0x02004AFF,33573376,33573631,18944,19199,256,33573407,2004A1F
,,,,,遥文点号,0x03001940,0x03001A3F,50338112,50338367,6464,6719,256,50338143,300195F
,,6,备用,备用,遥信点号,0x01004B00,0x01004BFF,16796416,16796671,19200,19455,256,16796447,1004B1F
,,,,,遥测点号,0x02004B00,0x02004BFF,33573632,33573887,19200,19455,256,33573663,2004B1F
,,,,,遥文点号,0x03001A40,0x03001B3F,50338368,50338623,6720,6975,256,50338399,3001A5F
,,7,备用,备用,遥信点号,0x01004C00,0x01004CFF,16796672,16796927,19456,19711,256,16796703,1004C1F
,,,,,遥测点号,0x02004C00,0x02004CFF,33573888,33574143,19456,19711,256,33573919,2004C1F
,,,,,遥文点号,0x03001B40,0x03001C3F,50338624,50338879,6976,7231,256,50338655,3001B5F
,,8,备用,备用,遥信点号,0x01004D00,0x01004DFF,16796928,16797183,19712,19967,256,16796959,1004D1F
,,,,,遥测点号,0x02004D00,0x02004DFF,33574144,33574399,19712,19967,256,33574175,2004D1F
,,,,,遥文点号,0x03001C40,0x03001D3F,50338880,50339135,7232,7487,256,50338911,3001C5F
,,9,备用,备用,遥信点号,0x01004E00,0x01004EFF,16797184,16797439,19968,20223,256,16797215,1004E1F
,,,,,遥测点号,0x02004E00,0x02004EFF,33574400,33574655,19968,20223,256,33574431,2004E1F
,,,,,遥文点号,0x03001D40,0x03001E3F,50339136,50339391,7488,7743,256,50339167,3001D5F
,,10,备用,备用,遥信点号,0x01004F00,0x01004FFF,16797440,16797695,20224,20479,256,16797471,1004F1F
,,,,,遥测点号,0x02004F00,0x02004FFF,33574656,33574911,20224,20479,256,33574687,2004F1F
